temiz_metin,duygu_sinifi,duygu_skoru
RT @birddetectiveTR: Bugün Milleyha Kuş Cenneti ve kumsalının mutlak koruma ve sit alanı haline getirilmesi için Hataylı ve Ankaralı millet…,positive,0.8960627317428589
"RT @gundem7x24: 'İmamoğlu tutuksuz yargılansın' bildirisine imza attığı iddia edilen dört eski TBMM Başkanı'ndan Cahit 
Karakaş'ın eşi Sibe…",negative,0.7649155855178833
CHP'nin yaptığı sözümona ön seçimler ve imza kampanyalarında işler nasıl yürüyor buradan pay biçebilirsiniz...,negative,0.9979333877563477
📍 #TEKNOFEST KKTC https://t.co/jbOLd2FIrp,positive,0.9724586009979248
"Turuncu 🏀 oldukça tanıdık geldi.
Sanırım üzerinde bir imza var... 😎",positive,0.9889161586761475
"2024 yılında evini depreme karşı dayanıklı hale getirmek isteyen 100 bin vatandaşımızın, Çevre ve Şehircilik Bakanlığı kentsel dönüşüm kira desteğinden faydalandığını biliyor muydunuz?",negative,0.6144814491271973
"RT @gdhteknofest: ♥️ Onlar hayallerine dokunup gözlerini geleceğe diktiler.

Kıbrıslı çocuklar, gençler…

⭐️ “Keşke hiç bitmese” dediğiniz…",positive,0.9881056547164917
"Ne zaman siyasette menfur bir darp veya şiddet olayı yaşansa, aklıma Başbakan Yardımcımız Bekir Bozdağ'a CHP Genel Başkanı önünde Hacıbektaş'ta yapılan yumruklu saldırı gelir.

CHP Genel Başkanı, olaydan sonra kürsüye çıkmasına rağmen bir kınama yapmamış, hatta geçmiş olsun bile",negative,0.9951871633529663
"RT @anadoluajansi: Cumhurbaşkanı Erdoğan, İstanbul'da saldırıya uğrayan CHP Genel Başkanı Özgür Özel'i arayarak geçmiş olsun dileklerini il…",positive,0.9545331001281738
"RT @omerrcelik: CHP Genel Başkanı Özgür Özel’e yapılan saldırıyı lanetliyoruz. 

Sn Özel’e geçmiş olsun dileklerimizi iletiyoruz. 

Siyaset…",negative,0.6099001169204712
"RT @Akparti: Cumhurbaşkanımız @RTErdogan: Adlarımız farklı olsa da söz konusu Kıbrıs davası olunca, soyadımız Kuzey Kıbrıs Türk Cumhuriyeti…",positive,0.9769022464752197
"Yaklaşık 4 ay önce mecliste oturmuştuk.

Nur yüzlü annesinden, mezarını hazırlatmaya başladığından, mezar taşına yazdıracağı şiirden bahsettik.

Renkli kişiliği, beyefendi bir mizacı vardı.

Ben, mü'min ve muvahhit olduğuna şahidim.

Rabbim, Sırrı Süreyya Önder'e rahmet eylesin.",NEUTRAL,0.5550248026847839
"Pardon, biraz önce yanlışlıkla Ak Parti mitingini paylaşmışım. 

Şimdi de bugünkü CHP mitingini paylaşalım da milletimiz farkı görsün.

@eczozgurozel sen kendini kandırmaya devam edebilirsin... https://t.co/nxq6GesumA",negative,0.645467221736908
"Bu miting gerçekten çok kalabalıkmış ya, acaba kaç kişi var ? 😟 https://t.co/rS2qsD7KBS",positive,0.8037561774253845
"RT @u_ibrahim_altay: Özgür Bey “kurusıkı” atıyor!

“Manisa’da su Konya’dan ucuz” dediniz, YALAN!

Konya’da 15 metreküp kullanan bir aile 52…",NEUTRAL,0.5132935643196106
😎,positive,0.9973896145820618
RT @gundem7x24: CHP’nin Konya mitingi katılımcılarına nereden geldikleri soruldu. https://t.co/kGhmGFyea3,positive,0.9968024492263794
